definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
睡覺,games_routines,遊戲/日常生活,22.702005730659025,18.727272727272727,16.347358722358724,1531,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,1|0|2|1|2|9|13|26|36|28|34|45|38|51|65|82|99|96|78|76|95|83|91|87|78|83|71|81|80,1|0|3|1|2|12|16|25|21|32|40|54|45|58|68|78|80|87|90|83|95|94|97|99|95|98|92|100|99,8|36
哈囉(嗨),games_routines,遊戲/日常生活,27.42016806722689,18.727272727272727,13.834545454545454,1401,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|1|4|5|12|11|22|26|39|32|34|45|47|45|63|69|89|75|59|65|81|74|78|71|70|73|63|79|69,0|1|5|6|15|14|27|25|23|37|40|54|56|51|66|66|72|68|68|71|81|84|83|81|85|86|82|98|85,8|36
噓/噓噓(安靜),games_routines,遊戲/日常生活,27.619834710743802,18.90909090909091,16.630434782608695,1248,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|2|4|10|12|25|27|22|44|42|41|52|56|78|68|60|63|79|69|76|70|63|73|64|74|73,0|0|0|1|2|5|12|11|15|31|26|52|50|47|54|53|63|62|69|68|79|78|81|80|77|86|83|91|90,8|36
拍拍手,games_routines,遊戲/日常生活,25.17103538663172,18.94736842105263,12,1513,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,1|5|10|15|20|20|35|42|50|22|24|43|40|47|53|75|82|81|71|69|84|79|84|78|74|80|72|78|79,1|6|13|19|25|26|43|40|29|25|29|51|48|53|55|71|66|74|82|75|84|90|89|89|90|94|94|96|98,8|36
洗澡,games_routines,遊戲/日常生活,24,19,17.153284671532848,1463,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|1|4|3|5|14|18|30|21|25|42|40|45|59|76|93|89|73|78|95|84|89|86|76|83|73|80|81,0|0|1|5|4|6|17|17|18|24|30|50|48|51|61|72|75|81|84|85|95|95|95|98|93|98|95|99|100,8|36
吃飯,games_routines,遊戲/日常生活,22.801526717557252,19.5,13.935643564356436,1559,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|1|1|3|6|9|21|31|45|30|25|40|44|51|60|82|100|101|78|79|96|85|89|86|78|84|73|80|81,0|1|1|4|8|12|26|29|26|34|30|48|52|58|62|78|81|92|90|86|96|97|95|98|95|99|95|99|100,8|36
上廁所(尿尿、便便),games_routines,遊戲/日常生活,24.45294117647059,19.5,16.90934300341297,1445,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|5|2|2|8|9|18|23|33|40|44|51|62|76|86|90|76|79|92|85|85|82|77|85|73|81|81,0|0|0|6|2|3|10|8|11|26|39|48|52|58|65|72|69|82|87|86|92|97|90|93|94|100|95|100|100,8|36
晚安,games_routines,遊戲/日常生活,25.90924092409241,21,16.84785202863962,1314,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|0|3|5|9|18|24|25|33|40|44|60|65|83|73|66|69|87|74|79|79|72|83|66|77|79,0|0|0|1|0|4|6|8|11|28|30|39|48|50|62|62|67|66|76|75|87|84|84|90|88|98|86|95|98,8|36
刷牙,games_routines,遊戲/日常生活,24.32608695652174,21.237623762376238,18.125,1375,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|1|2|9|6|20|12|19|35|35|42|55|69|90|88|75|73|99|83|87|82|77|84|70|81|80,0|0|0|1|1|3|11|6|12|14|23|42|42|48|57|66|73|80|86|79|99|94|93|93|94|99|91|100|99,8|36
讀書(看書),games_routines,遊戲/日常生活,27.3257328990228,21.876404494382022,18.5,1213,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|1|0|1|1|2|7|15|15|13|17|25|30|31|50|55|76|65|64|65|84|75|78|81|65|77|68|78|74,0|1|0|1|1|3|9|14|9|15|20|30|36|35|52|52|61|59|74|71|84|85|83|92|79|91|88|96|91,8|36
